日期	冷负荷
1999/1/1 0:00	0.00 
1999/1/1 1:00	0.00 
1999/1/1 2:00	0.00 
1999/1/1 3:00	0.00 
1999/1/1 4:00	0.00 
1999/1/1 5:00	0.00 
1999/1/1 6:00	0.00 
1999/1/1 7:00	0.00 
1999/1/1 8:00	0.00 
1999/1/1 9:00	-0.15 
1999/1/1 10:00	-0.17 
1999/1/1 11:00	-0.20 
1999/1/1 12:00	-0.31 
1999/1/1 13:00	-0.32 
1999/1/1 14:00	-0.21 
1999/1/1 15:00	-0.04 
1999/1/1 16:00	0.00 
1999/1/1 17:00	0.00 
1999/1/1 18:00	-0.11 
1999/1/1 19:00	-0.13 
1999/1/1 20:00	-0.16 
1999/1/1 21:00	-0.28 
1999/1/1 22:00	0.00 
1999/1/1 23:00	0.00 
1999/1/2 0:00	0.00 
1999/1/2 1:00	0.00 
1999/1/2 2:00	0.00 
1999/1/2 3:00	0.00 
1999/1/2 4:00	0.00 
1999/1/2 5:00	0.00 
1999/1/2 6:00	0.00 
1999/1/2 7:00	0.00 
1999/1/2 8:00	0.00 
1999/1/2 9:00	-0.21 
1999/1/2 10:00	-0.24 
1999/1/2 11:00	-0.27 
1999/1/2 12:00	-0.37 
1999/1/2 13:00	-0.34 
1999/1/2 14:00	-0.17 
1999/1/2 15:00	-0.07 
1999/1/2 16:00	0.00 
1999/1/2 17:00	0.00 
1999/1/2 18:00	-0.07 
1999/1/2 19:00	-0.14 
1999/1/2 20:00	-0.18 
1999/1/2 21:00	-0.33 
1999/1/2 22:00	0.00 
1999/1/2 23:00	0.00 
1999/1/3 0:00	0.00 
1999/1/3 1:00	0.00 
1999/1/3 2:00	0.00 
1999/1/3 3:00	0.00 
1999/1/3 4:00	0.00 
1999/1/3 5:00	0.00 
1999/1/3 6:00	0.00 
1999/1/3 7:00	0.00 
1999/1/3 8:00	0.00 
1999/1/3 9:00	-0.09 
1999/1/3 10:00	-0.07 
1999/1/3 11:00	-0.08 
1999/1/3 12:00	-0.15 
1999/1/3 13:00	-0.18 
1999/1/3 14:00	-0.02 
1999/1/3 15:00	-0.01 
1999/1/3 16:00	-0.01 
1999/1/3 17:00	0.00 
1999/1/3 18:00	-0.03 
1999/1/3 19:00	-0.07 
1999/1/3 20:00	-0.08 
1999/1/3 21:00	-0.08 
