load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.796 ,1818.0 ,131.3 ,13.8451 ,12,125.3 ,15.7 ,8,109.2 ,4.0 ,3.0 ,326 ,16.8 ,517 ,
0.774 ,1769.4 ,128.9 ,13.7270 ,12,125.3 ,15.6 ,8,98.3 ,3.7 ,2.5 ,320 ,16.7 ,515 ,
0.758 ,1731.5 ,127.2 ,13.6141 ,12,125.3 ,15.5 ,8,87.3 ,3.3 ,2.1 ,316 ,16.6 ,513 ,
0.856 ,1956.5 ,139.9 ,13.9822 ,12,125.3 ,16.0 ,10,109.2 ,5.7 ,4.4 ,343 ,17.2 ,523 ,
0.849 ,1941.1 ,139.2 ,13.9476 ,12,125.3 ,16.0 ,10,98.3 ,5.3 ,4.3 ,342 ,17.3 ,525 ,
0.824 ,1882.1 ,134.9 ,13.9492 ,12,125.3 ,15.9 ,10,87.3 ,4.9 ,3.7 ,334 ,17.0 ,520 ,
0.802 ,1831.8 ,132.0 ,13.8732 ,12,125.3 ,15.7 ,10,76.4 ,4.3 ,3.1 ,328 ,16.8 ,518 ,
0.774 ,1767.8 ,128.9 ,13.7169 ,12,125.3 ,15.6 ,10,65.5 ,3.6 ,2.5 ,320 ,16.7 ,515 ,
0.702 ,1605.0 ,129.1 ,12.4366 ,12,125.3 ,15.3 ,10,54.6 ,3.0 ,2.1 ,316 ,18.8 ,551 ,
0.924 ,2111.7 ,154.5 ,13.6701 ,12,125.3 ,16.3 ,12,109.2 ,7.4 ,6.1 ,363 ,17.6 ,531 ,
0.908 ,2075.5 ,150.4 ,13.7962 ,12,125.3 ,16.3 ,12,98.3 ,7.0 ,5.7 ,358 ,17.5 ,529 ,
0.889 ,2031.7 ,146.1 ,13.9030 ,12,125.3 ,16.2 ,12,87.3 ,6.5 ,5.2 ,352 ,17.4 ,527 ,
0.866 ,1977.7 ,141.5 ,13.9722 ,12,125.3 ,16.0 ,12,76.4 ,5.8 ,4.7 ,345 ,17.2 ,524 ,
0.836 ,1909.7 ,136.7 ,13.9734 ,12,125.3 ,15.9 ,12,65.5 ,5.1 ,3.9 ,337 ,17.0 ,521 ,
0.760 ,1736.8 ,134.4 ,12.9213 ,12,125.3 ,15.6 ,12,54.6 ,4.4 ,3.4 ,331 ,19.2 ,558 ,
0.705 ,1611.2 ,131.0 ,12.3021 ,12,125.3 ,15.3 ,12,43.7 ,3.2 ,2.5 ,321 ,19.5 ,563 ,
0.782 ,1786.6 ,130.8 ,13.6610 ,12,112.7 ,16.1 ,8,109.2 ,4.1 ,2.8 ,324 ,17.1 ,522 ,
0.778 ,1778.3 ,130.5 ,13.6241 ,12,112.7 ,16.0 ,8,98.3 ,3.7 ,2.8 ,324 ,17.1 ,523 ,
0.752 ,1718.7 ,127.6 ,13.4716 ,12,112.7 ,15.9 ,8,87.3 ,3.3 ,2.1 ,316 ,16.9 ,519 ,
0.850 ,1943.2 ,140.0 ,13.8766 ,12,112.7 ,16.4 ,10,109.2 ,5.8 ,4.5 ,343 ,17.5 ,530 ,
0.836 ,1909.7 ,137.7 ,13.8654 ,12,112.7 ,16.3 ,10,98.3 ,5.4 ,4.1 ,339 ,17.4 ,528 ,
0.818 ,1869.2 ,135.2 ,13.8263 ,12,112.7 ,16.3 ,10,87.3 ,4.9 ,3.7 ,334 ,17.3 ,526 ,
0.796 ,1819.4 ,132.4 ,13.7423 ,12,112.7 ,16.1 ,10,76.4 ,4.3 ,3.2 ,328 ,17.2 ,523 ,
0.769 ,1756.3 ,129.3 ,13.5866 ,12,112.7 ,16.0 ,10,65.5 ,3.6 ,2.5 ,321 ,17.0 ,521 ,
0.702 ,1604.0 ,129.3 ,12.4038 ,12,112.7 ,15.7 ,10,54.6 ,3.0 ,2.2 ,317 ,18.9 ,553 ,
0.918 ,2098.7 ,154.0 ,13.6238 ,12,112.7 ,16.8 ,12,109.2 ,7.4 ,6.1 ,363 ,18.0 ,537 ,
0.903 ,2062.6 ,150.2 ,13.7326 ,12,112.7 ,16.7 ,12,98.3 ,7.0 ,5.7 ,358 ,17.9 ,536 ,
0.892 ,2038.6 ,148.3 ,13.7501 ,12,112.7 ,16.6 ,12,87.3 ,6.4 ,5.5 ,356 ,18.0 ,537 ,
0.860 ,1965.4 ,141.7 ,13.8727 ,12,112.7 ,16.5 ,12,76.4 ,5.9 ,4.7 ,346 ,17.6 ,531 ,
0.830 ,1897.7 ,136.9 ,13.8568 ,12,112.7 ,16.3 ,12,65.5 ,5.1 ,4.0 ,338 ,17.4 ,527 ,
0.757 ,1729.1 ,134.6 ,12.8464 ,12,112.7 ,16.0 ,12,54.6 ,4.5 ,3.5 ,331 ,19.4 ,561 ,
0.698 ,1595.4 ,131.1 ,12.1647 ,12,112.7 ,15.7 ,12,43.7 ,3.3 ,2.5 ,321 ,19.7 ,567 ,
0.775 ,1770.3 ,131.2 ,13.4968 ,12,100.2 ,16.5 ,8,109.2 ,4.1 ,2.9 ,325 ,17.5 ,529 ,
0.761 ,1739.6 ,129.7 ,13.4103 ,12,100.2 ,16.5 ,8,98.3 ,3.8 ,2.6 ,321 ,17.4 ,527 ,
0.745 ,1702.5 ,128.1 ,13.2928 ,12,100.2 ,16.4 ,8,87.3 ,3.4 ,2.2 ,317 ,17.3 ,525 ,
0.845 ,1930.8 ,139.8 ,13.8112 ,12,100.2 ,16.9 ,10,109.2 ,5.8 ,4.4 ,343 ,17.7 ,533 ,
0.828 ,1891.6 ,137.9 ,13.7220 ,12,100.2 ,16.8 ,10,98.3 ,5.4 ,4.1 ,339 ,17.9 ,535 ,
0.811 ,1852.8 ,135.5 ,13.6700 ,12,100.2 ,16.7 ,10,87.3 ,5.0 ,3.7 ,335 ,17.8 ,533 ,
0.789 ,1803.4 ,132.8 ,13.5769 ,12,100.2 ,16.6 ,10,76.4 ,4.4 ,3.2 ,329 ,17.6 ,531 ,
0.762 ,1741.0 ,129.8 ,13.4149 ,12,100.2 ,16.5 ,10,65.5 ,3.7 ,2.6 ,321 ,17.4 ,527 ,
0.909 ,2078.1 ,152.5 ,13.6277 ,12,100.2 ,17.3 ,12,109.2 ,7.5 ,6.0 ,362 ,18.2 ,541 ,
0.895 ,2046.0 ,149.9 ,13.6452 ,12,100.2 ,17.2 ,12,98.3 ,7.0 ,5.8 ,359 ,18.4 ,544 ,
0.877 ,2002.9 ,146.1 ,13.7133 ,12,100.2 ,17.1 ,12,87.3 ,6.5 ,5.3 ,353 ,18.2 ,541 ,
0.853 ,1949.4 ,141.8 ,13.7440 ,12,100.2 ,17.0 ,12,76.4 ,5.9 ,4.8 ,347 ,18.1 ,538 ,
0.824 ,1882.8 ,137.3 ,13.7149 ,12,100.2 ,16.8 ,12,65.5 ,5.2 ,4.0 ,338 ,17.8 ,534 ,
0.752 ,1718.5 ,134.7 ,12.7588 ,12,100.2 ,16.4 ,12,54.6 ,4.5 ,3.5 ,331 ,19.6 ,564 ,
0.691 ,1578.7 ,131.3 ,12.0204 ,12,100.2 ,16.1 ,12,43.7 ,3.4 ,2.5 ,321 ,20.0 ,571 ,
0.768 ,1754.2 ,131.1 ,13.3833 ,12,87.7 ,17.1 ,8,109.2 ,4.2 ,2.8 ,324 ,17.7 ,532 ,
0.752 ,1717.8 ,130.3 ,13.1832 ,12,87.7 ,17.0 ,8,98.3 ,3.8 ,2.6 ,322 ,17.9 ,536 ,
0.736 ,1681.3 ,128.7 ,13.0639 ,12,87.7 ,16.9 ,8,87.3 ,3.4 ,2.3 ,317 ,17.8 ,534 ,
0.833 ,1903.9 ,140.4 ,13.5586 ,12,87.7 ,17.6 ,10,109.2 ,5.9 ,4.6 ,344 ,18.6 ,547 ,
0.819 ,1871.5 ,137.6 ,13.6047 ,12,87.7 ,17.5 ,10,98.3 ,5.5 ,4.1 ,339 ,18.2 ,540 ,
0.801 ,1831.3 ,136.0 ,13.4659 ,12,87.7 ,17.4 ,10,87.3 ,5.0 ,3.8 ,335 ,18.3 ,543 ,
0.780 ,1782.6 ,133.4 ,13.3635 ,12,87.7 ,17.2 ,10,76.4 ,4.5 ,3.3 ,330 ,18.2 ,540 ,
0.753 ,1721.1 ,130.4 ,13.1938 ,12,87.7 ,17.1 ,10,65.5 ,3.8 ,2.7 ,322 ,17.9 ,536 ,
0.901 ,2059.7 ,153.2 ,13.4472 ,12,87.7 ,18.0 ,12,109.2 ,7.5 ,6.2 ,365 ,19.2 ,557 ,
0.887 ,2026.3 ,149.0 ,13.6034 ,12,87.7 ,17.9 ,12,98.3 ,7.1 ,5.7 ,358 ,18.7 ,548 ,
0.867 ,1981.2 ,146.0 ,13.5650 ,12,87.7 ,17.8 ,12,87.3 ,6.6 ,5.4 ,354 ,18.8 ,552 ,
0.844 ,1928.5 ,142.1 ,13.5721 ,12,87.7 ,17.7 ,12,76.4 ,6.0 ,4.8 ,348 ,18.7 ,548 ,
0.815 ,1862.1 ,137.8 ,13.5149 ,12,87.7 ,17.5 ,12,65.5 ,5.2 ,4.1 ,339 ,18.4 ,544 ,
0.747 ,1707.6 ,134.8 ,12.6697 ,12,87.7 ,17.0 ,12,54.6 ,4.6 ,3.5 ,331 ,19.7 ,567 ,
0.685 ,1564.2 ,131.6 ,11.8854 ,12,87.7 ,16.6 ,12,43.7 ,3.5 ,2.6 ,321 ,20.2 ,576 ,
0.752 ,1717.8 ,132.4 ,12.9733 ,12,75.2 ,17.9 ,8,109.2 ,4.3 ,3.0 ,326 ,18.7 ,549 ,
0.739 ,1688.2 ,131.1 ,12.8811 ,12,75.2 ,17.8 ,8,98.3 ,3.9 ,2.7 ,323 ,18.6 ,547 ,
0.723 ,1652.4 ,129.5 ,12.7573 ,12,75.2 ,17.7 ,8,87.3 ,3.5 ,2.3 ,318 ,18.5 ,545 ,
0.820 ,1873.1 ,140.8 ,13.3064 ,12,75.2 ,18.4 ,10,109.2 ,5.9 ,4.7 ,345 ,19.3 ,560 ,
0.806 ,1840.9 ,138.8 ,13.2613 ,12,75.2 ,18.3 ,10,98.3 ,5.5 ,4.3 ,341 ,19.2 ,558 ,
0.788 ,1801.5 ,135.6 ,13.2896 ,12,75.2 ,18.2 ,10,87.3 ,5.1 ,3.7 ,334 ,18.7 ,548 ,
0.770 ,1760.3 ,134.0 ,13.1412 ,12,75.2 ,18.0 ,10,76.4 ,4.5 ,3.4 ,330 ,18.7 ,549 ,
0.749 ,1711.3 ,132.1 ,12.9505 ,12,75.2 ,17.9 ,10,65.5 ,3.8 ,3.0 ,326 ,18.7 ,549 ,
0.888 ,2028.3 ,152.5 ,13.3003 ,12,75.2 ,18.9 ,12,109.2 ,7.6 ,6.3 ,365 ,19.9 ,571 ,
0.872 ,1993.5 ,149.5 ,13.3374 ,12,75.2 ,18.8 ,12,98.3 ,7.2 ,5.9 ,361 ,19.8 ,568 ,
0.853 ,1949.7 ,144.8 ,13.4652 ,12,75.2 ,18.7 ,12,87.3 ,6.7 ,5.2 ,353 ,19.2 ,557 ,
0.835 ,1907.0 ,142.3 ,13.4043 ,12,75.2 ,18.5 ,12,76.4 ,6.1 ,4.9 ,348 ,19.2 ,558 ,
0.810 ,1851.8 ,139.6 ,13.2687 ,12,75.2 ,18.3 ,12,65.5 ,5.3 ,4.4 ,343 ,19.3 ,559 ,
0.766 ,1749.8 ,133.9 ,13.0643 ,12,75.2 ,18.0 ,12,54.6 ,4.4 ,3.4 ,330 ,18.8 ,552 ,
0.686 ,1567.8 ,132.1 ,11.8664 ,12,75.2 ,17.4 ,12,43.7 ,3.5 ,2.7 ,322 ,20.4 ,578 ,
0.733 ,1674.5 ,133.4 ,12.5524 ,12,62.6 ,18.9 ,8,109.2 ,4.4 ,3.1 ,328 ,19.6 ,565 ,
0.721 ,1646.8 ,131.4 ,12.5343 ,12,62.6 ,18.8 ,8,98.3 ,4.0 ,2.7 ,322 ,19.2 ,558 ,
0.705 ,1611.5 ,130.7 ,12.3340 ,12,62.6 ,18.7 ,8,87.3 ,3.6 ,2.5 ,320 ,19.4 ,560 ,
0.687 ,1569.0 ,128.9 ,12.1695 ,12,62.6 ,18.5 ,8,76.4 ,3.1 ,2.0 ,315 ,19.2 ,557 ,
0.800 ,1828.7 ,141.3 ,12.9382 ,12,62.6 ,19.5 ,10,109.2 ,6.0 ,4.8 ,347 ,20.3 ,578 ,
0.787 ,1797.4 ,139.6 ,12.8796 ,12,62.6 ,19.4 ,10,98.3 ,5.7 ,4.4 ,343 ,20.2 ,575 ,
0.770 ,1759.8 ,137.5 ,12.7953 ,12,62.6 ,19.3 ,10,87.3 ,5.2 ,4.0 ,338 ,20.0 ,572 ,
0.749 ,1710.9 ,133.7 ,12.7986 ,12,62.6 ,19.0 ,10,76.4 ,4.7 ,3.3 ,329 ,19.3 ,559 ,
0.726 ,1658.3 ,132.0 ,12.5609 ,12,62.6 ,18.8 ,10,65.5 ,4.0 ,2.8 ,324 ,19.3 ,560 ,
0.691 ,1579.2 ,129.3 ,12.2098 ,12,62.6 ,18.5 ,10,54.6 ,3.1 ,2.1 ,316 ,19.2 ,558 ,
0.792 ,1810.7 ,140.4 ,12.8958 ,12,62.6 ,19.5 ,12,109.2 ,8.1 ,4.6 ,345 ,20.3 ,577 ,
0.853 ,1949.2 ,149.4 ,13.0482 ,12,62.6 ,20.0 ,12,98.3 ,7.3 ,6.0 ,362 ,20.9 ,588 ,
0.835 ,1908.4 ,146.4 ,13.0331 ,12,62.6 ,19.9 ,12,87.3 ,6.8 ,5.6 ,357 ,20.7 ,584 ,
0.813 ,1858.5 ,143.1 ,12.9870 ,12,62.6 ,19.7 ,12,76.4 ,6.2 ,5.1 ,351 ,20.5 ,580 ,
0.787 ,1799.1 ,138.7 ,12.9698 ,12,62.6 ,19.4 ,12,65.5 ,5.5 ,4.3 ,341 ,19.9 ,569 ,
0.749 ,1712.3 ,135.2 ,12.6682 ,12,62.6 ,19.1 ,12,54.6 ,4.5 ,3.5 ,332 ,19.8 ,568 ,
0.701 ,1601.6 ,130.2 ,12.2968 ,12,62.6 ,18.6 ,12,43.7 ,3.3 ,2.4 ,319 ,19.3 ,560 ,
0.704 ,1608.8 ,134.9 ,11.9264 ,12,50.1 ,20.3 ,8,109.2 ,4.5 ,3.3 ,330 ,21.0 ,589 ,
0.692 ,1581.7 ,133.7 ,11.8311 ,12,50.1 ,20.2 ,8,98.3 ,4.2 ,3.0 ,326 ,20.8 ,586 ,
0.676 ,1544.5 ,131.4 ,11.7534 ,12,50.1 ,20.0 ,8,87.3 ,3.8 ,2.5 ,320 ,20.3 ,578 ,
0.661 ,1509.5 ,130.8 ,11.5390 ,12,50.1 ,19.8 ,8,76.4 ,3.3 ,2.3 ,318 ,20.5 ,580 ,
0.694 ,1585.0 ,132.7 ,11.9421 ,12,50.1 ,20.2 ,10,109.2 ,6.6 ,2.8 ,324 ,20.4 ,579 ,
0.683 ,1560.3 ,132.0 ,11.8195 ,12,50.1 ,20.1 ,10,98.3 ,6.2 ,2.6 ,322 ,20.4 ,579 ,
0.672 ,1535.7 ,131.3 ,11.6930 ,12,50.1 ,20.0 ,10,87.3 ,5.8 ,2.4 ,320 ,20.4 ,579 ,
0.723 ,1651.0 ,136.8 ,12.0672 ,12,50.1 ,20.5 ,10,76.4 ,4.9 ,3.8 ,335 ,21.2 ,593 ,
0.698 ,1595.4 ,134.4 ,11.8737 ,12,50.1 ,20.3 ,10,65.5 ,4.2 ,3.2 ,328 ,20.9 ,588 ,
0.667 ,1524.2 ,131.3 ,11.6110 ,12,50.1 ,19.9 ,10,54.6 ,3.4 ,2.4 ,319 ,20.5 ,581 ,
0.749 ,1712.4 ,139.0 ,12.3206 ,12,50.1 ,20.9 ,12,109.2 ,8.3 ,4.3 ,341 ,21.2 ,593 ,
0.736 ,1681.6 ,137.9 ,12.1951 ,12,50.1 ,20.7 ,12,98.3 ,7.9 ,4.0 ,338 ,21.2 ,593 ,
0.723 ,1652.0 ,136.8 ,12.0721 ,12,50.1 ,20.6 ,12,87.3 ,7.5 ,3.8 ,335 ,21.2 ,593 ,
0.785 ,1793.4 ,144.2 ,12.4341 ,12,50.1 ,21.3 ,12,76.4 ,6.4 ,5.3 ,353 ,22.0 ,607 ,
0.758 ,1733.0 ,140.9 ,12.3001 ,12,50.1 ,21.0 ,12,65.5 ,5.7 ,4.7 ,345 ,21.6 ,601 ,
0.724 ,1654.8 ,137.0 ,12.0791 ,12,50.1 ,20.6 ,12,54.6 ,4.8 ,3.8 ,335 ,21.2 ,593 ,
0.678 ,1549.5 ,132.3 ,11.7106 ,12,50.1 ,20.0 ,12,43.7 ,3.6 ,2.7 ,322 ,20.6 ,583 ,
0.620 ,1417.2 ,132.7 ,10.6770 ,12,37.6 ,21.9 ,8,109.2 ,4.9 ,2.5 ,320 ,22.0 ,608 ,
0.625 ,1427.2 ,132.9 ,10.7380 ,12,37.6 ,21.9 ,8,98.3 ,4.6 ,2.5 ,320 ,22.0 ,607 ,
0.625 ,1427.6 ,132.9 ,10.7403 ,12,37.6 ,21.9 ,8,87.3 ,4.1 ,2.5 ,320 ,22.0 ,607 ,
0.616 ,1408.3 ,132.6 ,10.6175 ,12,37.6 ,21.8 ,8,76.4 ,3.6 ,2.4 ,319 ,22.0 ,608 ,
0.598 ,1365.9 ,131.6 ,10.3799 ,12,37.6 ,21.5 ,8,65.5 ,3.1 ,2.1 ,315 ,22.0 ,607 ,
0.621 ,1419.2 ,133.0 ,10.6685 ,12,37.6 ,21.9 ,10,109.2 ,6.9 ,2.5 ,320 ,22.1 ,609 ,
0.602 ,1375.6 ,132.0 ,10.4242 ,12,37.6 ,21.6 ,10,98.3 ,6.7 ,2.2 ,317 ,22.0 ,609 ,
0.605 ,1381.7 ,131.6 ,10.5034 ,12,37.6 ,21.6 ,10,87.3 ,6.2 ,2.1 ,316 ,21.8 ,605 ,
0.599 ,1367.8 ,131.7 ,10.3841 ,12,37.6 ,21.6 ,10,76.4 ,5.8 ,2.1 ,316 ,22.0 ,608 ,
0.655 ,1496.9 ,137.2 ,10.9077 ,12,37.6 ,22.4 ,10,65.5 ,4.6 ,3.6 ,333 ,22.9 ,625 ,
0.626 ,1429.4 ,133.1 ,10.7428 ,12,37.6 ,22.0 ,10,54.6 ,3.8 ,2.6 ,321 ,22.0 ,608 ,
0.664 ,1516.5 ,137.6 ,11.0220 ,12,37.6 ,22.5 ,12,98.3 ,8.3 ,3.7 ,334 ,22.8 ,624 ,
0.636 ,1452.5 ,134.0 ,10.8412 ,12,37.6 ,22.1 ,12,65.5 ,6.7 ,2.8 ,324 ,22.1 ,610 ,
0.610 ,1394.4 ,132.6 ,10.5159 ,12,37.6 ,21.7 ,12,54.6 ,5.9 ,2.4 ,319 ,22.1 ,610 ,
0.640 ,1462.6 ,135.7 ,10.7783 ,12,37.6 ,22.2 ,12,43.7 ,4.0 ,3.2 ,328 ,22.7 ,620 ,
0.755 ,1725.6 ,132.2 ,13.0506 ,14,125.3 ,17.5 ,8,109.2 ,4.2 ,3.0 ,326 ,18.5 ,546 ,
0.742 ,1694.5 ,130.9 ,12.9449 ,14,125.3 ,17.5 ,8,98.3 ,3.9 ,2.7 ,323 ,18.5 ,545 ,
0.725 ,1657.1 ,129.4 ,12.8061 ,14,125.3 ,17.4 ,8,87.3 ,3.5 ,2.3 ,318 ,18.4 ,543 ,
0.826 ,1887.4 ,140.6 ,13.4251 ,14,125.3 ,17.9 ,10,109.2 ,5.9 ,4.6 ,345 ,19.0 ,554 ,
0.819 ,1870.4 ,140.0 ,13.3570 ,14,125.3 ,17.8 ,10,98.3 ,5.5 ,4.5 ,344 ,19.1 ,556 ,
0.793 ,1813.1 ,136.4 ,13.2935 ,14,125.3 ,17.7 ,10,87.3 ,5.1 ,3.9 ,336 ,18.8 ,550 ,
0.772 ,1763.1 ,133.9 ,13.1650 ,14,125.3 ,17.6 ,10,76.4 ,4.5 ,3.4 ,330 ,18.6 ,548 ,
0.744 ,1699.9 ,131.1 ,12.9640 ,14,125.3 ,17.5 ,10,65.5 ,3.8 ,2.8 ,323 ,18.5 ,545 ,
0.665 ,1520.4 ,131.1 ,11.5954 ,14,125.3 ,17.2 ,10,54.6 ,3.4 ,2.4 ,319 ,20.5 ,580 ,
0.896 ,2048.4 ,152.8 ,13.4041 ,14,125.3 ,18.2 ,12,109.2 ,7.5 ,6.2 ,365 ,19.4 ,562 ,
0.881 ,2012.1 ,149.6 ,13.4517 ,14,125.3 ,18.1 ,12,98.3 ,7.1 ,5.9 ,360 ,19.3 ,560 ,
0.861 ,1968.2 ,146.1 ,13.4734 ,14,125.3 ,18.0 ,12,87.3 ,6.6 ,5.4 ,355 ,19.2 ,558 ,
0.838 ,1914.1 ,142.3 ,13.4520 ,14,125.3 ,17.9 ,12,76.4 ,6.0 ,4.9 ,348 ,19.1 ,555 ,
0.775 ,1771.4 ,139.8 ,12.6697 ,14,125.3 ,17.7 ,12,65.5 ,5.6 ,4.5 ,343 ,20.7 ,584 ,
0.735 ,1680.3 ,137.0 ,12.2678 ,14,125.3 ,17.5 ,12,54.6 ,4.7 ,3.8 ,336 ,20.9 ,587 ,
0.662 ,1513.8 ,133.2 ,11.3611 ,14,125.3 ,17.1 ,12,43.7 ,3.8 ,2.8 ,324 ,21.3 ,595 ,
0.749 ,1710.4 ,132.6 ,12.8977 ,14,112.7 ,17.9 ,8,109.2 ,4.3 ,3.1 ,327 ,18.9 ,552 ,
0.735 ,1680.4 ,131.3 ,12.8015 ,14,112.7 ,17.8 ,8,98.3 ,3.9 ,2.7 ,323 ,18.8 ,550 ,
0.719 ,1643.3 ,129.8 ,12.6619 ,14,112.7 ,17.8 ,8,87.3 ,3.5 ,2.4 ,319 ,18.7 ,549 ,
