日期,干球温度(℃),含湿量(g/Kg),冷负荷(kW)
2025/1/1 0:00,-5.08 ,1.600,0.00 
2025/1/1 1:00,-5.19 ,1.710,0.00 
2025/1/1 2:00,-5.40 ,1.790,0.00 
2025/1/1 3:00,-5.79 ,1.830,0.00 
2025/1/1 4:00,-6.29 ,1.820,0.00 
2025/1/1 5:00,-6.78 ,1.780,0.00 
2025/1/1 6:00,-7.15 ,1.720,0.00 
2025/1/1 7:00,-7.30 ,1.650,0.00 
2025/1/1 8:00,-6.50 ,1.650,0.00 
2025/1/1 9:00,-4.49 ,1.740,0.00 
2025/1/1 10:00,-1.77 ,1.860,0.00 
2025/1/1 11:00,1.17 ,1.920,0.00 
2025/1/1 12:00,3.87 ,1.830,0.00 
2025/1/1 13:00,5.84 ,1.640,0.00 
2025/1/1 14:00,6.60 ,1.450,-2968.66 
2025/1/1 15:00,6.24 ,1.410,-192.28 
2025/1/1 16:00,5.30 ,1.510,-340.21 
2025/1/1 17:00,3.96 ,1.680,0.00 
2025/1/1 18:00,2.44 ,1.840,0.00 
2025/1/1 19:00,0.92 ,1.960,0.00 
2025/1/1 20:00,-0.40 ,2.000,0.00 
2025/1/1 21:00,-1.37 ,2.010,0.00 
2025/1/1 22:00,-2.04 ,2.010,0.00 
2025/1/1 23:00,-2.51 ,2.020,0.00 
2025/1/2 0:00,-2.88 ,2.030,0.00 
2025/1/2 1:00,-3.24 ,2.050,0.00 
2025/1/2 2:00,-3.70 ,2.070,0.00 
2025/1/2 3:00,-4.31 ,2.090,0.00 
2025/1/2 4:00,-5.00 ,2.100,0.00 
2025/1/2 5:00,-5.64 ,2.100,0.00 
2025/1/2 6:00,-6.12 ,2.080,0.00 
2025/1/2 7:00,-6.30 ,2.050,0.00 
2025/1/2 8:00,-5.60 ,2.090,0.00 
2025/1/2 9:00,-3.70 ,2.230,0.00 
2025/1/2 10:00,-1.02 ,2.400,0.00 
2025/1/2 11:00,1.97 ,2.480,0.00 
2025/1/2 12:00,4.83 ,2.360,0.00 
2025/1/2 13:00,7.09 ,2.080,0.00 
2025/1/2 14:00,8.30 ,1.770,-628.32 
2025/1/2 15:00,8.40 ,1.610,-281.34 
2025/1/2 16:00,7.81 ,1.660,0.00 
2025/1/2 17:00,6.38 ,1.780,0.00 
2025/1/2 18:00,4.63 ,1.920,0.00 
2025/1/2 19:00,3.07 ,2.050,0.00 
2025/1/2 20:00,2.20 ,2.230,0.00 
2025/1/2 21:00,2.20 ,2.460,0.00 
2025/1/2 22:00,2.13 ,2.610,0.00 
2025/1/2 23:00,1.81 ,2.640,0.00 
2025/1/3 0:00,1.35 ,2.560,0.00 
2025/1/3 1:00,0.85 ,2.440,0.00 
2025/1/3 2:00,0.40 ,2.280,0.00 
2025/1/3 3:00,0.09 ,2.110,0.00 
2025/1/3 4:00,-0.11 ,1.900,0.00 
2025/1/3 5:00,-0.25 ,1.710,0.00 
2025/1/3 6:00,-0.38 ,1.500,0.00 
2025/1/3 7:00,-0.54 ,1.290,0.00 
2025/1/3 8:00,-0.80 ,1.080,0.00 
2025/1/3 9:00,-1.18 ,0.880,0.00 
2025/1/3 10:00,-1.63 ,0.710,0.00 
2025/1/3 11:00,-2.09 ,0.570,-286.12 
2025/1/3 12:00,-2.50 ,0.460,-3408.85 
2025/1/3 13:00,-2.79 ,0.390,-6905.72 
2025/1/3 14:00,-2.90 ,0.350,-1895.63 
2025/1/3 15:00,-3.16 ,0.340,0.00 
2025/1/3 16:00,-3.78 ,0.330,0.00 
2025/1/3 17:00,-4.54 ,0.330,0.00 
2025/1/3 18:00,-5.19 ,0.330,0.00 
2025/1/3 19:00,-5.50 ,0.320,0.00 
2025/1/3 20:00,-5.40 ,0.310,0.00 
2025/1/3 21:00,-5.31 ,0.260,0.00 
2025/1/3 22:00,-5.36 ,0.200,0.00 
2025/1/3 23:00,-5.55 ,0.130,0.00 
2025/1/4 0:00,-5.92 ,0.070,0.00 
2025/1/4 1:00,-6.46 ,0.050,0.00 
2025/1/4 2:00,-7.20 ,0.060,0.00 
